[22/06 08:14:04] Captura (PowerShell) reaberta.
[22/06 08:19:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 08:19:04] Captura (PowerShell) reaberta.
[22/06 08:24:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 08:24:04] Captura (PowerShell) reaberta.
[22/06 08:29:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 08:29:04] Captura (PowerShell) reaberta.
[22/06 08:34:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 08:34:04] Captura (PowerShell) reaberta.
[22/06 08:39:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 08:39:04] Captura (PowerShell) reaberta.
[22/06 08:44:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 08:44:04] Captura (PowerShell) reaberta.
[22/06 08:49:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 08:49:04] Captura (PowerShell) reaberta.
[22/06 08:54:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 08:54:04] Captura (PowerShell) reaberta.
[22/06 08:59:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 08:59:04] Captura (PowerShell) reaberta.
[22/06 09:04:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 09:04:04] Captura (PowerShell) reaberta.
[22/06 09:09:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 09:09:04] Captura (PowerShell) reaberta.
[22/06 09:14:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 09:14:04] Captura (PowerShell) reaberta.
[22/06 09:19:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 09:19:04] Captura (PowerShell) reaberta.
[22/06 09:24:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 09:24:04] Captura (PowerShell) reaberta.
[22/06 09:29:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 09:29:04] Captura (PowerShell) reaberta.
[22/06 09:34:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 09:34:04] Captura (PowerShell) reaberta.
[22/06 09:39:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 09:39:04] Captura (PowerShell) reaberta.
[22/06 09:44:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 09:44:04] Captura (PowerShell) reaberta.
[22/06 09:49:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 09:49:04] Captura (PowerShell) reaberta.
[22/06 09:54:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 09:54:04] Captura (PowerShell) reaberta.
[22/06 09:59:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 09:59:04] Captura (PowerShell) reaberta.
