[18/06 05:15:03] Captura (PowerShell) reaberta.
[18/06 05:20:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 05:20:02] Captura (PowerShell) reaberta.
[18/06 05:25:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 05:25:02] Captura (PowerShell) reaberta.
[18/06 05:30:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 05:30:02] Captura (PowerShell) reaberta.
[18/06 05:35:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 05:35:02] Captura (PowerShell) reaberta.
[18/06 05:40:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 05:40:02] Captura (PowerShell) reaberta.
[18/06 05:45:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 05:45:02] Captura (PowerShell) reaberta.
[18/06 05:50:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 05:50:02] Captura (PowerShell) reaberta.
[18/06 05:55:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 05:55:02] Captura (PowerShell) reaberta.
[18/06 06:00:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 06:00:02] Captura (PowerShell) reaberta.
[18/06 06:05:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 06:05:02] Captura (PowerShell) reaberta.
[18/06 06:10:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 06:10:02] Captura (PowerShell) reaberta.
[18/06 06:15:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 06:15:02] Captura (PowerShell) reaberta.
[18/06 06:20:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 06:20:02] Captura (PowerShell) reaberta.
[18/06 06:25:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 06:25:02] Captura (PowerShell) reaberta.
[18/06 06:30:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 06:30:02] Captura (PowerShell) reaberta.
[18/06 06:35:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 06:35:02] Captura (PowerShell) reaberta.
[18/06 06:40:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 06:40:01] Captura (PowerShell) reaberta.
[18/06 06:45:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 06:45:01] Captura (PowerShell) reaberta.
[18/06 06:50:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 06:50:01] Captura (PowerShell) reaberta.
[18/06 06:55:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 06:55:01] Captura (PowerShell) reaberta.
[18/06 07:00:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 07:00:02] Captura (PowerShell) reaberta.
[18/06 07:05:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 07:05:01] Captura (PowerShell) reaberta.
[18/06 07:10:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 07:10:01] Captura (PowerShell) reaberta.
[18/06 07:15:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 07:15:01] Captura (PowerShell) reaberta.
[18/06 07:20:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 07:20:01] Captura (PowerShell) reaberta.
[18/06 07:25:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 07:25:01] Captura (PowerShell) reaberta.
[18/06 07:30:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 07:30:01] Captura (PowerShell) reaberta.
[18/06 07:35:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 07:35:01] Captura (PowerShell) reaberta.
[18/06 07:40:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 07:40:01] Captura (PowerShell) reaberta.
[18/06 07:45:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 07:45:01] Captura (PowerShell) reaberta.
[18/06 07:50:01] Captura parada. Reabrindo a versao PowerShell...
